full_name,primary_language,ai_maturity_level,scan_success,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,software_quality_maintainability_remediation_effort
pmndrs/zustand,TypeScript,1,true,8690,3,0,209,13.6,2.5,307,3025
remix-run/react-router,TypeScript,2,true,157997,44,0,2566,26.9,7.5,8043,37855
socketio/socket.io,TypeScript,1,true,40561,52,0,1093,18.5,13.8,3177,12219
appwrite/appwrite,TypeScript,3,true,244992,81,7,4482,36.7,7.1,18615,73166
reduxjs/redux,TypeScript,1,true,9992,25,0,261,2.7,9.2,402,2685
cline/cline,TypeScript,3,true,203343,164,0,3042,8.0,13.3,26812,21173
FlowiseAI/Flowise,TypeScript,1,true,238325,54,1,4323,20.3,5.1,30347,34619
vuejs/core,TypeScript,1,true,131466,246,0,2552,9.8,7.3,14255,22089
upstash/context7,TypeScript,1,true,7478,0,1,103,6.1,4.9,1100,880
lyswhut/lx-music-desktop,TypeScript,1,true,60490,48,2,1898,7.0,9.9,7177,9342
laurent22/joplin,TypeScript,2,true,293456,319,21,7502,12.8,13.0,35796,44187
OpenCut-app/OpenCut,TypeScript,2,true,67367,17,2,474,6.0,0.6,5211,2427
slab/quill,TypeScript,1,true,22379,15,0,369,4.2,3.1,1623,3459
makeplane/plane,TypeScript,2,true,376007,526,2,5909,19.6,8.2,23029,44417
pixijs/pixijs,TypeScript,1,true,115470,52,2,1341,5.4,28.0,7462,12197
cypress-io/cypress,TypeScript,2,true,429205,1037,7,9475,10.1,6.9,45058,129280
TanStack/query,TypeScript,1,true,124713,60,0,2397,38.1,4.3,4116,31792
shareAI-lab/learn-claude-code,TypeScript,1,true,13612,6,0,167,12.0,6.5,1779,1111
type-challenges/type-challenges,TypeScript,1,true,5306,9,0,262,0.0,3.3,183,1268
tldraw/tldraw,TypeScript,3,true,305547,149,0,3888,7.0,15.1,27332,30602
prisma/prisma,TypeScript,2,true,190262,85,14,1424,20.6,6.2,9477,10106
koala73/worldmonitor,TypeScript,2,true,273881,60,1,3146,8.1,4.1,43852,24280
jestjs/jest,TypeScript,2,true,123274,84,0,1171,8.5,4.9,9440,9368
react-hook-form/react-hook-form,TypeScript,1,true,56826,144,0,971,19.6,3.4,1957,11122
upscayl/upscayl,TypeScript,1,true,7455,15,0,135,0.0,4.2,537,564
code-yeongyu/oh-my-openagent,TypeScript,2,true,167818,33,0,954,12.9,7.5,14633,9571
paperclipai/paperclip,TypeScript,3,true,175463,96,16,2147,6.4,4.9,24916,14869
streamich/react-use,TypeScript,1,true,13511,3,0,163,3.7,2.6,877,1272
AykutSarac/jsoncrack.com,TypeScript,1,true,7732,1,1,55,3.1,0.9,695,412
slidevjs/slidev,TypeScript,1,true,22122,11,1,271,1.6,5.1,3044,1955
vercel/hyper,TypeScript,1,true,11509,23,0,719,1.6,7.5,2126,4215
DIYgod/RSSHub,TypeScript,2,true,376448,44,1,2632,17.5,2.4,22973,16146
thedotmack/claude-mem,TypeScript,3,true,57790,448,0,3792,16.4,13.2,15468,28014
CherryHQ/cherry-studio,TypeScript,3,true,275727,111,1,2968,4.9,9.2,28220,19405
colinhacks/zod,TypeScript,2,true,57742,185,0,1616,18.0,10.5,4708,14648
fastapi/full-stack-fastapi-template,TypeScript,1,true,10748,6,0,128,4.8,5.0,281,827
hexojs/hexo,TypeScript,1,true,25967,8,0,143,12.8,4.8,1779,1304
FuelLabs/fuels-ts,TypeScript,1,true,81961,25,0,511,10.2,10.8,2323,4657
chakra-ui/chakra-ui,TypeScript,4,true,167836,25,0,1983,31.3,2.0,5667,5569
trpc/trpc,TypeScript,2,true,93527,86,0,974,27.7,9.1,7445,9344
TheAlgorithms/Java,Java,1,true,83872,60,0,1321,2.0,21.4,9639,13019
kdn251/interviews,Java,1,true,11447,7,0,1505,42.7,28.5,3626,8203
vuetifyjs/vuetify,TypeScript,1,true,174058,113,1,1054,11.4,2.0,9126,8845
siyuan-note/siyuan,TypeScript,1,true,206136,368,0,4501,4.9,6.0,71914,48370
styled-components/styled-components,TypeScript,2,true,23441,139,0,348,9.8,6.8,1417,2278
termux/termux-app,Java,1,true,28297,45,2,1025,1.4,24.4,5842,10115
dbeaver/dbeaver,Java,1,true,657783,435,14,26561,2.1,5.2,102810,265293
ReactiveX/RxJava,Java,1,true,319129,561,0,11666,22.7,13.5,25312,143155
jeecgboot/JeecgBoot,Java,1,true,303263,265,19,14220,5.5,13.7,45807,86908
halo-dev/halo,Java,1,true,182202,58,33,1300,7.3,13.5,6958,11973
spring-projects/spring-framework,Java,1,true,897971,434,13,16959,7.3,19.1,67488,177047
TeamNewPipe/NewPipe,Java,1,true,137707,24,3,676,0.3,5.5,7776,5714
alibaba/arthas,Java,2,true,93162,181,0,2998,7.2,11.6,12741,24858
eugenp/tutorials,Java,1,true,1158325,4033,391,52240,10.7,3.0,50290,355478
skylot/jadx,Java,1,true,156091,106,0,2861,1.2,8.5,22266,24159
YunaiV/ruoyi-vue-pro,Java,1,true,188664,6,5,1797,4.2,18.4,8711,12956
apache/dubbo,Java,1,true,330507,396,1,8795,7.8,7.9,33964,78181
PhilJay/MPAndroidChart,Java,1,true,26717,12,0,808,10.8,15.8,4255,6323
doocs/leetcode,Java,1,true,260360,83,10,29420,9.2,2.6,95020,112021
ashishps1/awesome-system-design-resources,Java,1,true,619,2,0,18,0.0,21.4,77,180
bumptech/glide,Java,1,true,90303,59,0,2553,11.0,11.0,4668,17751
airbnb/lottie-android,Java,1,true,35633,23,3,481,2.5,8.9,3949,4569
Blankj/AndroidUtilCode,Java,1,true,48551,58,10,1536,3.9,19.7,5943,13766
geekxh/hello-algorithm,Java,1,true,1845,0,0,284,0.0,18.1,568,1041
keycloak/keycloak,Java,1,true,874694,399,79,21074,6.1,7.5,62558,197901
alibaba/nacos,Java,1,true,422614,485,12,11857,9.6,9.3,43012,106501
binarywang/WxJava,Java,2,true,184514,47,20,3561,11.8,30.5,6496,29291
apache/kafka,Java,1,true,1144482,908,13,21251,7.7,9.8,76815,215384
netty/netty,Java,1,true,423411,356,42,8173,5.8,12.3,41978,74587
ityouknow/spring-boot-examples,Java,1,true,41994,73,59,931,19.8,1.5,194,4925
xkcoding/spring-boot-demo,Java,1,true,23136,36,20,347,3.4,15.5,413,2569
zxing/zxing,Java,1,true,147718,140,0,1517,26.1,7.4,9577,11137
chinabugotech/hutool,Java,1,true,154632,113,9,4426,3.2,31.5,16629,38143
